#Imperator:Rome culture,CK2 culture
#Note: Whenever creating a new CK2 culture, in addition to the definition in either
#00_cultures.txt or 50_convertedCultures.txt, a list of possible dynasties must be
#added to common\dynasties, and a dejure mapping must be added to dejureConversion.txt.
#Otherwise, without dejure mapping, culture won't have a correct dejure liege generated for it

#Greek

bosporan,greek
syracusan,magnagreek
achaean,greek
epirote,greek
boeotian,greek
peloponnesian,greek
athenian,greek
peloponnesian,greek
euboean,greek
aetolian,greek
aegean,greek
macedonian,greek
parthinian,greek
thracian,greek
cretan,greek
greco_pontic,greek
italiotian,magnagreek
enetoian,magnagreek
massalian,massalian
cyrenaican,cyrenaican
argolian,greek
arcadian,greek
aeolian,greek
troan,greek
ionian,greek
#bithynian,greek
cypriot,greek
thessalian,greek
greco_indian,indogreek
hellenistic,hellenistic
greek,greek

#Latin

roman,roman
hispania,roman
gaul,roman
brittania,roman
africa,roman	
illyria,roman
sardonian,roman
lucanian,sabellian
sabellian,sabellian
samnite,sabellian
bruttian,sabellian
osco_umbrian,sabellian
umbrian,sabellian
siculian,siculian
ligurian,old_ligurian
venetic,venetic

#PreIndoEuropean

etruscan,etruscan
nuragic,nuragic
corsian,nuragic
talaiotic,nuragic
ilienses,nuragic
balares,nuragic
vasconian,basque
cantabrian,basque
ilergetian,basque
aquitani,basque
autrigonian,basque
rhaetian,rhaetian

#Gallic

lepontic,lepontic
#belgic,belgae
aremorican,gallic
vindelician,gallic
helvetian,gallic
#belgae,belgae
biturigan,gallic
volcae,gallic
salluvian,gallic
haedui,gallic
carnuti,gallic
#treverian,treverian
santonian,gallic
lemovician,gallic
pictonian,gallic
aulercian,gallic
celtic_pannonian,celtic_pannonian
arverni,gallic
allobrogian,gallic
#carnian,carnian
#letobician,letobician
#boian,boian

#Belgae
belgae,belgae
belgic,belgae
treverian,belgae
aduatacian,belgae
eburonian,belgae
nervian,belgae
morinian,belgae
veliocassian,belgae
bellovacian,belgae
sennonian,belgae
ubian,belgae

#CeltPannonian
celtic_pannonian,celtic_pannonian
letobician,celtic_pannonian
carnian,celtic_pannonian
noric,celtic_pannonian
boian,celtic_pannonian
eravisci,celtic_pannonian
teurian,celtic_pannonian
cotinian,celtic_pannonian
galatian,galatian
tylian,galatian

#Gaelic

hibernian,irish
ivernian,irish
voluntian,irish
manavian,manx
monapian,manx

#Brythonic
ordovitian,welsh
demetian,welsh
cornovian,welsh
taexalian,pictish
caledonian,pictish
dumnonian,breton
britannic,welsh
parisian,welsh

#iceni,iceni
#trinovantian,trinovantian
#cantian,cantian
#durotrigan,durotrigan
#dobunnian,dobunnian
#coritani,coritani
#brigantic,brigantic

iceni,welsh
trinovantian,welsh
cantian,welsh
durotrigan,welsh
dobunnian,welsh
coritani,welsh
brigantic,welsh
briton,welsh
votadinian,pictish
damnonian,pictish
pict,pictish

#Punic
carthaginian,carthaginian
phoenician,phoenician
alasiyan,alasiyan
ugaritic,ugaritic

#Germanic
suebian,suebi
irminonic,suebi
saxonian,old_saxon
anglian,old_saxon
ingvaeonic,old_saxon
frisian,frisian
rugian,norse
suiones,norse
gutones,norse
raumarician,norse
teutonian,norse
cimbrian,norse
scandian,norse
vandal,vandal
helveconian,vandal
lemovian,gothic
herulian,gothic
gothonic,gothic
bastarnae,gothic
istvaeonic,old_frankish
franks,old_frankish
anglosaxon,saxon
lombards,lombard
indo_germanic,indo_germanic

#Egyptian

egyptian,ancient_egyptian
upper_egyptian,ancient_egyptian
middle_egyptian,ancient_egyptian
oasis_egyptian,ancient_egyptian
per_sheklesh,per_sheklesh
niwt_ipt,niwt_ipt

#NorthAfrican

numidian,maghreb_arabic
berber,maghreb_arabic
gaetulian,maghreb_arabic
socossian,maghreb_arabic
massaesylian,maghreb_arabic
massylian,maghreb_arabic
garamantic,maghreb_arabic
libyan,maghreb_arabic
nasamonian,maghreb_arabic
macaean,maghreb_arabic
psyllic,maghreb_arabic
phazani,maghreb_arabic
lotophagoi,maghreb_arabic
gyzantian,maghreb_arabic
moyan,maghreb_arabic
#alutan,maghreb_arabic
#boran,maghreb_arabic
autolalean,maghreb_arabic
lixitoi,maghreb_arabic
perorsian,maghreb_arabic
canarian,maghreb_arabic
nectiberean,maghreb_arabic
daphnitaean,maghreb_arabic
capariensian,maghreb_arabic
abannaean,maghreb_arabic
cetianian,maghreb_arabic
melanogaetulian,maghreb_arabic

#Illyrian

taulantian,arberian
histrian,arberian
liburnian,arberian
liburnian_culture,arberian
catari,arberian
deraemestian,arberian
deurian,arberian
messapian,arberian
paeonian,arberian
dardanian,arberian
abrian,arberian
greco_illyrian,arberian
pannonian,arberian
iapodian,arberian

#Scythian
scythian,royal_scythian
agathyrsian,royal_scythian
sarmatian,sarmatian
siraci,sarmatian
roxolanian,iazyges
kharesmian,saka
derbiccan,saka
saka,saka
sakan,saka
khotanese,saka
sindi,circassian
maeotian,circassian
abasgoi,circassian
thyssagetaen,sarmatian
gelonian,royal_scythian
alani,alan
jurcan,sarmatian
massagetaean,saka
cimmerian,cimmerian

#Arabian
hadhrami,south_arabian
qatabanian,south_arabian
sheban,south_arabian
minaean,south_arabian
himjar,south_arabian
samad,south_arabian
adite,south_arabian
kindite,south_arabian
makan,bedouin_arabic
taif,bedouin_arabic
thamudi,bedouin_arabic
qedarite,bedouin_arabic
gerrhan,bedouin_arabic
yamama,bedouin_arabic
nabatean,nabatean

#Israeli
hebrew,hebrew

#Dacian
dacian,dacian
getian,dacian
triballoi,dacian
moesi,dacian
harpii,dacian
costoboci,dacian
buridavensi,dacian
caucoensi,dacian
ratacensi,dacian
biephi,dacian
odrysi,thracian
bithynian,thracian
mariandynian,thracian

#Georgian
ibero,georgian
colchian,georgian
suani,georgian
lazi,georgian
sasperian,georgian

#Dagestani

albanian,caucasian_albanian
legian,caucasian_albanian
caspian,caspian

#Iberic

oretanian,iberic
contestanian,iberic
ilercavonian,iberic
edetanian,iberic
lacetanian,iberic
indiketian,iberic
ausetanian,iberic
couneian,iberic
turdulian,iberic
turdetanian,turdetanian
bastetanian,iberic

#Celtiberan

caristian,celtiberian
celtician,celtiberian
lusitanian,lusitanian
vettonian,lusitanian
carpetanian,celtiberian
celtiberian,celtiberian
lobetanian,celtiberian
sedetanian,celtiberian
vaccaeian,celtiberian
asturian,celtiberian
callaecian,celtiberian
vardulian,celtiberian
oppidanian,celtiberian

#Anatolian

pamphylian,greek
lalasian,greek
cappadocian,persian
cataonian,persian
morimenian,persian
pontic,persian
lycian,lycian
lydian,lycian
carian,lycian
pisidian,lycian
milyadian,lycian
cabalian,lycian
mysian,phrygian
phrygian,phrygian
lycaonian,isaurian
isaurian,isaurian
oroandian,isaurian
paphlagonian,paphlagonian
cilician,cilician
kennataian,cilician
trojan,trojan
kizzuwatnan,kizzuwatnan

#Armenian

armenian,armenian

#Mesopotamian

aramaic,assyrian
assyrian,assyrian
babylonian,babylonian
cardukoi,cardukoi
sumerian,sumerian_culture
eblaite,eblaite

#NubianAndEthiopian

puntic,somali
berberian,somali
avalitian,somali
aksumite,ethiopian
athagaun,ethiopian
ona,ethiopian
daamoti,ethiopian
meroitic,nubian
blemmyan,nubian
lower_nubian,nubian
napatan,nubian

moyan,nubian
alutan,nubian
boran,nubian
nubian,nubian
adabulian,nubian
rhizophagian,nubian
kumuzan,nubian

#Tibetan

zhangzhung,zhangzhung
yarlung,bodpa
tsang,bodpa
sumpa,sumpa

#Persian

elamite,elamite
uxian,elamite
cossian,elamite
utian,persian
pasargadi,persian
sagartian,persian
amardian,persian
cadusian,persian
median,persian
hyrcanian,persian
sattagydian,persian
sarangian,persian
carmanian,persian
parthian,parthian_culture
pactyan,afghan
gedrosian,baloch
parecanian,baloch

#Bactrian

bactrian,sogdian
margian,sogdian
sogdian,sogdian
shule,sogdian
phryni,sogdian
tayuan,sogdian
wusun,sogdian
yuezhi,sogdian
tocharian,tocharian

#EasternIndian

magadhi,bengali
bangli,bengali
pandra,bengali
vanga,bengali
kasi,bengali
vrij,bengali
malla,bengali
himalayan,nepali
kamarupi,assamese
kalingan,oriya
savara,oriya
atavi,hindustani

#WesternIndian

lankan,sinhala
dhivehi,sinhala
gandhari,panjabi
dardic,panjabi
#mayChangeToKashmiri
sivi,panjabi
purus,panjabi
sindhi,sindhi
avanti,rajput
kaccha,rajput
matsya,rajput
saurashtran,gujurati
rathikan,gujurati
shauraseni,hindustani
kosala,hindustani
kuru,hindustani
maharashtran,marathi
vidharban,marathi
mulaka,marathi
cedi,marathi
mitanni,neo_mitanni

#Dravidian
kannadan,kannada
alupan,kannada
kuntalan,kannada
tamil,tamil
pandyan,tamil
cheran,tamil
cholan,tamil
telugu,telugu
assaka,telugu
andhran,telugu

#Baltic
aestian,aestian

#Turkic
khazars,khazar
turks,turkish
alans,alan
bulgars,bolghar
avars,avar
huns,hunnic
hunnic,hunnic
huna,huna

#Slavic
polanes,polish
sporic,protoslavic
neuric,protoslavic
budinian,protoslavic
chernolian,protoslavic
melanchlaenian,protoslavic

#Finnic
androphagian,ugricbaltic
fennic,ugricbaltic
volgaic,meshchera
mordvin,mordvin

#Mayan
mayan,mayan
huastec,mayan
totomec,olmec
olmec,olmec
zoque,olmec
tol,tol

#Burmese
shan,shan
pyu,pyu
rhakine,mon
mon,mon
pubu,wa

#Hurrian
hurrian,hurrian_culture
syro_hurrian,hurrian_culture
subarian,hurrian_culture
tukri,hurrian_culture
lullubi,hurrian_culture
gutian,gutian

#PreGreek
cycladic,cycladic
minoan,minoan
leleges,minoan
telchines,minoan
kadmeian,pelasgian
sithonian,pelasgian
kranaoi,pelasgian
kuretes,pelasgian
phthiotai,pelasgian
mukanai,pelasgian

#PreAnatolian
hatti,hatti_culture

#150BC start date mod
aorsi,sarmatian
tauri,dahi_scythian
pundra,bengali
#savara,bengali
pulinda,bengali
vrji,bengali
greco_persian,seleucian
karduchoi,parthian_culture
mazices,maghreb_arabic
machlyes,maghreb_arabic
andhra,telugu
asmaka,telugu
kuntala,telugu
chola,tamil
pandya,tamil
kerala,tamil
greco_bactrian,bactrian

#Realm Divide mod
syriac,assyrian
palmyrene,assyrian
mandaean,assyrian
hatran,assyrian
babylonian_late,assyrian
brittonic,welsh
welsh,welsh
cumbrian,welsh
attacotti,welsh
bernaccian,welsh
pictish,pictish
breton,breton
cornish,breton
gaelic,irish
laigin,irish
cruthin,irish
connachtan,irish
erainnian,irish
ossorian,irish
ulaid,irish
dalcassian,irish
eoganachtan,irish
manx,manx
gaulish,gallic
gallaic,celtiberian
beja,nubian
afar,somali
somali,somali
agaw,ethiopian
demotic,ancient_egyptian
frankish,old_frankish
batavian,old_frankish
gothic,gothic
gepidian,gothic
taifali,gothic
burgundian,old_burgundian
scirian,vandal
norse,norse
svear,norse
gotar,norse
danish,norse
gutnish,norse
angrivarii,old_saxon
aviones,old_saxon
reudigni,old_saxon
warini,old_saxon
jutish,old_saxon
saxon,old_saxon
alemanni,suebi
suevian,suebi
quadian,suebi
thuringian,suebi
baiuvarian,suebi
vangionic,suebi
variscian,suebi
alan,alan
ossetian,alan
iazyges,iazyges
roxolani,iazyges
makurian,nubian
nobatian,nubian
alodian,nubian
coptic,coptic
sardinian,sardinian
corsican,italian
sicilian,italian
gallo_roman,frankish
ibero_roman,catalan
illyro_roman,dalmatian
daco_roman,romanian
pannonian_roman,romanian
thraco_roman,romanian
roman_germanic,laessin
roman_briton,cambrian
galindian,aestian
curonian,aestian
semigallian,aestian
selonian,aestian
veneti,protoslavic
antae,protoslavic
polanian,protoslavic
polabian,protoslavic
sorbian,protoslavic
vistulan,protoslavic
lendian,protoslavic
sclaveni,protoslavic
laz_culture,georgian
tzannic,georgian
georgian,georgian
abasgian,circassian
arabic,bedouin_arabic
adnanites,bedouin_arabic
qahtanite,bedouin_arabic
persian,persian
tajik,persian
kurdish,kurdish
baloch,baloch
afghan,afghan
khwarezmian,sogdian
dahaean,saka
laguatan,maghreb_arabic
afri,maghreb_arabic
anatolian,greek
samaritan,hebrew
bulgar,bolghar
oghuric,bolghar
sabir,bolghar
barsil,bolghar
avar,avar
altaic,huna

#Gift of the Nile mod
lesser_armenian,armenian
sophene,armenian
arzasha,armenian
syriac,assyrian
hittite,cilician
dilmunite,babylonian
avarite_egyptian,ancient_egyptian
danetic_egyptian,ancient_egyptian
neithic_egyptian,ancient_egyptian
wadjetic_egyptian,ancient_egyptian
mafkatian_egyptian,ancient_egyptian
siwan_egyptian,ancient_egyptian
tenuwan_egyptian,ancient_egyptian
akhenite_egyptian,ancient_egyptian
hethedetian,ancient_egyptian
deshretic_egyptian,ancient_egyptian
retenuan,ancient_egyptian
alashiyan,phoenician
syrion,phoenician
hyksos,neo_hyksos
