#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#By Nick Robertson

ca_culture_group_plashurii_1;Plashurii Camelry Grounds;Parc de Chameaux;Plashurii Kameleriegelände;;Tierras de Camellos Plashurii;;;;;;;;;x
ca_culture_group_plashurii_4;Plashurii Camelry Grounds;Parc de Chameaux;Plashurii Kameleriegelände;;Tierras de Camellos Plashurii;;;;;;;;;x
ca_culture_group_plashurii_3;Plashurii Camelry Grounds;Parc de Chameaux;Plashurii Kameleriegelände;;Tierras de Camellos Plashurii;;;;;;;;;x
ca_culture_group_plashurii_2;Plashurii Camelry Grounds;Parc de Chameaux;Plashurii Kameleriegelände;;Tierras de Camellos Plashurii;;;;;;;;;x
ca_culture_group_plashurii_1_desc;This is an area set aside for the raising and training of camelry. Camels have been a vital adaption for Gallic traditions in the heat of Mesopotamia.;Il s'agit d'une zone réservée à l'élevage et au dressage des chameaux. Les chameaux ont été une adaptation vitale pour les traditions gaéliques dans la chaleur de la Mésopotamie;Dies ist ein Bereich, der für die Aufzucht und Ausbildung von Kamelen vorgesehen ist. Kamele waren eine wichtige Anpassung an die gälischen Traditionen in der Hitze Mesopotamiens;;Esta es un área reservada para la cría y entrenamiento de camellos. Los camellos han sido una adaptación vital para las tradiciones galas en plena Mespotamia;;;;;;;;;x

ca_culture_group_chaldean_1;Chaldean Shieldbearer Barracks;Porte-boucliers Chaldéens;Chaldäische Schildträger;;Portadores de Escudos Caldeos;;;;;;;;;x
ca_culture_group_chaldean_2;Chaldean Shieldbearers Barracks;Porte-boucliers Chaldéens;Chaldäische Schildträger;;Portadores de Escudos Caldeos;;;;;;;;;x
ca_culture_group_chaldean_3;Chaldean Shieldbearers Barracks;Porte-boucliers Chaldéens;Chaldäische Schildträger;;Portadores de Escudos Caldeos;;;;;;;;;x
ca_culture_group_chaldean_4;Chaldean Shieldbearers Barracks;Porte-boucliers Chaldéens;Chaldäische Schildträger;;Portadores de Escudos Caldeos;;;;;;;;;x
ca_culture_group_chaldean_1_desc;Armed with tower shields to shelter both them and their archer comrades these legionnaires are the terror of any defender in a siege. This barracks is where they are marshalled when summoned to the levy.;Armés de boucliers de tour pour les abriter ainsi que leurs camarades archers, ces légionnaires sont la terreur de tout défenseur lors d'un siège. Cette caserne est l'endroit où ils sont rassemblés lorsqu'ils sont convoqués à la levée.;Bewaffnet mit Turmschilden, um sie und ihre Bogenschützenkameraden zu schützen, sind diese Legionäre der Schrecken jedes Verteidigers in einer Belagerung. In dieser Kaserne werden sie geordnet, wenn sie zum Aufgebot gerufen werden.;;Armados con escudos de torre para protegerlos a ellos y a sus camaradas arqueros, estos legionarios son el terror de cualquier defensor en un asedio. Este cuartel es donde se les ordena cuando son llamados a la leva.;;;;;;;;;x

ca_culture_group_carthaginian_1;Carthaginian Elephant Encampment;Campement D'Eléphants Carthaginois;Karthagisches Elefantenlager;;Campamento de Elefantes Cartagineses;;;;;;;;;x
ca_culture_group_carthaginian_2;Carthaginian Elephant Encampment;Campement D'Eléphants Carthaginois;Karthagisches Elefantenlager;;Campamento de Elefantes Cartagineses;;;;;;;;;xca_culture_group_carthaginian_1;Carthaginian Elephant Encampment;Campement D'Eléphants Carthaginois;Karthagisches Elefantenlager;;Campamento de Elefantes Cartagineses;;;;;;;;;x
ca_culture_group_carthaginian_3;Carthaginian Elephant Encampment;Campement D'Eléphants Carthaginois;Karthagisches Elefantenlager;;Campamento de Elefantes Cartagineses;;;;;;;;;x
ca_culture_group_carthaginian_4;Carthaginian Elephant Encampment;Campement D'Eléphants Carthaginois;Karthagisches Elefantenlager;;Campamento de Elefantes Cartagineses;;;;;;;;;x
ca_culture_group_carthaginian_1_desc;Careful breeding and conservation has preserved the venerable African Bush Elephant from extinction, and these camps breed and train such mighty beasts for the inevitability of war.;Un élevage et une conservation soigneux ont préservé le vénérable éléphant d'Afrique de l'extinction, et ces camps élèvent et entraînent des bêtes si puissantes pour l'inévitabilité de la guerre.;Sorgfältige Zucht und Erhaltung haben den ehrwürdigen afrikanischen Elefanten vor dem Aussterben bewahrt, und diese Camps züchten und trainieren solche mächtigen Bestien für die Unvermeidbarkeit des Krieges.;;La cuidadosa crianza y conservación ha preservado al venerable elefante africano de la extinción, y estos campamentos crían y entrenan a estas poderosas bestias para la inevitabilidad de la guerra.;;;;;;;;;x
