#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
indoromename;Indo-Roman Empire's Name;;;;;;;;;x
indoromenamedefault_text;Indo-Roman Empire;x
indoromenamedefault_desc;The Indo-Roman Empire's name will remain unchanged.;x

RULE_GROUP_INDO_ROME;Indo-Rome Related Rules;;;;;;;;;;;

indoromenamesaegoria_text;Saegorian Empire;x
indoromenamesaegoria_desc;The Indo-Roman Empire will take on the name of its de-facto founder, Saegorius.;x

indoromenamevietia_text;Vieti Empire;x
indoromenamevietia_desc;The Indo-Roman Empire will be named after the Romano-Vieti peoples.;x

indoromenameindia_text;Indian Empire;x
indoromenameindia_desc;The Indo-Roman Empire will simply be known as the Empire of India.;x

indoromenameyindu_text;Yindu Empire;x
indoromenameyindu_desc;The Indo-Roman Empire will be known as the Yindu Empire.;x

indoromenamejustrome_text;Roman Empire;x
indoromenamejustrome_desc;The Indo-Roman Empire will simply be known as Rome. Maybe Saegorius wasn't as crazy as we thought?;x

indoromenamebigredblob_text;Big Red Blob;x
indoromenamebigredblob_desc;The Indo-Roman Empire will be known as the Big Red Blob. It isn't exactly subtle, but it gets the message across.;x

indoromenameromalan_text;Romalan Empire;x
indoromenameromalan_desc;The Indo-Roman Empire will be known as the Romalan Empire.;x

nick_dogdays;the Dog Days;x
nick_lion_of_the_west;the Lion of the West;x


e_indo_roman_empire;Indo-Roman Empire;;;;;;;;;x
e_indo_roman_empire_adj;Indo-Roman;;;;;;;;;x
d_latin_praetorians;Praetorian Guard;;;;;;;;;x
d_indo_praetorians;Yindu Praetorian Guard;;;;;;;;;x
k_walakrios_expedition;Eastern Expedition;;;;;;;;;x
k_walakrios_expedition_adj;Eastern Expeditionary;;;;;;;;;x
k_western_expedition;Western Expedition;;;;;;;;;x
k_western_expedition_adj;Western Expeditionary;;;;;;;;;x
e_orientis;Orientis;;;;;;;;;x
e_orientis_adj;Orientis;;;;;;;;;x
e_britannica;Britanniclaw;;;;;;;;;x
e_britannica_adj;Britannican;;;;;;;;;x
d_vieti_seniores;Vieti Seniores;;;;;;;;;x
d_vieti_seniores_adj;Vieti Seniore;;;;;;;;;x
d_solromalus;Solromalus;;;;;;;;;x
d_solromalus_adj;Solromalan;;;;;;;;;x
d_occiromalus;Occiromalus;;;;;;;;;x
d_occiromalus_adj;Occiromalan;;;;;;;;;x
d_maria;Maria;;;;;;;;;x
d_maria_adj;Marian;;;;;;;;;x
d_syrica;Syrica;;;;;;;;;x
d_syrica_adj;Syrican;;;;;;;;;x
d_western_dominium;the Dominium;;;;;;;;;x
d_western_dominium_adj;Dominate;;;;;;;;;x
d_fidellia;Fidellia;;;;;;;;;x
d_fidellia_adj;Fidellian;;;;;;;;;x
k_yindu_dominium;Bengallica;;;;;;;;;x
k_yindu_dominium_adj;Bengallic;;;;;;;;;x
d_kalvarea;Kalvarea;;;;;;;;;x
d_kalvarea_adj;Kalvarean;;;;;;;;;x
d_arcadi_upper;Upper Arcadi;;;;;;;;;x
d_arcadi_upper_adj;Upper Arcadian;;;;;;;;;x
d_arcadi;Arcadi;;;;;;;;;x
d_arcadi_adj;Arcadian;;;;;;;;;x
k_arcadi;Arcadi;;;;;;;;;x
k_arcadi_adj;Arcadian;;;;;;;;;x
k_vietia;Vietia;;;;;;;;;x
k_vietia_adj;Vietian;;;;;;;;;x
k_romala;Romala;;;;;;;;;x
k_romala_adj;Romalan;;;;;;;;;x
RETTYPE_CAT_ELEPHANT;Elephant Cataphract;x
gov_indoroman_imperial_government;Indo-Roman Autocracy;x
gov_britannican_tributary_horde;Autocratic Taxation Khaganate;x
gov_army_of_tourists;Aristocratic Expedition;x
EVTNAMEindoromans;The Eastern Romans?;x
EVTDESCindoromans;Rumors spread from the silk road, about an unfathomably large army descending upon Hindustan from around and even through the Arakanese mountains. This massive army speaks in a butchered manner of old Latin, wearing elaborate jewelry with the markings of both the cross and the eagle. They are led by a man who was supposedly driven mad by the heat of the stars. Their motives are unknown. Their legions, massive.;x
indoromanone;But that's ridiculous!;x
indoromantwo;Surely there must be some truth to these rumors...;x
summon_india_rome;Summon The Indo-Roman Empire;x
summon_india_rome_desc;Summon The Indo-Roman Empire;x
form_praetorians_india;Reform The Praetorian Guard;x
form_praetorians_india_desc;Our old Vieti Praetorian guard has fattened itself under the indiligent management of the old prefects. If the guard's prestigious position is to be maintained, it must be placed back under the direct authority of the Emperor. The Praetorians must be soldiers and loyalists, instead of politicians and landholders.;x
indoroman_invasion_desc;The rightful territories of the empire must be unified!;x
britannican_invasion_desc;The rightful territories of the empire must be unified!;x
westindoroman_invasion_desc;The rightful territories of the empire must be unified!;x
praetorian_ultra;Praetorian Ultra;x
praetorian_ultra_desc;This character is a veteran of the Praetorian Guard.;x
indoroman_champ;Eques Defensor;x
indoroman_champ_desc;This character is part of an elite Indo-Roman caste of politicians and commanders.;x
d_knights_of_saint_thomas;Knights of Saint Thomas;;;;;;;;;x
form_knights_of_saint_thomas;Form the Knights of Saint Thomas;x
form_knights_of_saint_thomas_desc;Form the Knights of Saint Thomas;x
employ_hero_of_rome;Commend A Roman Hero;x
employ_hero_of_rome_desc;Commend A Roman Hero;x
indo_roman_augustus;Augustus;x
indo_roman_augustus_desc;This character is the current ruler of the Indo-Roman Empire and commands the respect an office of such magnitude is due.;x
celestial_augustus;Celestial Augustus;x
celestial_augustus_desc;This character is the current ruler of the Celestial Romano-Han Empire and commands the respect you'd expect an office born of the two greatest imperial legacies in history would be owed.;x
bloodofarvidhektorios;Blood of Arvid 'the Hunter' Makela;x
bloodofarvidhektorios_desc;A mighty warrior and loyal servant of Rome, Arvid 'Hektorios Abenitatus' travelled across the known world and fought alongside Saegorius and the Romano-Vieti.;x
bloodofwalakrios;Blood of Walakrios 'the Gambler';x
bloodofwalakrios_desc;An unpredictable, slippery and willful Praetorian, Walakrios earned a reputation among the Latin fundamentalists as a competent leader with many unorthodox ideas.;x
bloodofsheogorath;Blood of [This.GetFirstName] 'Ultimus Romanorum';x
bloodofsheogorath_desc;A long-lived madman and mighty warlord, [Root.GetDynName] unified the Romano-Vieti people under the Labarum, leading a massive army into the Indian subcontinent.;x
bloodofbritanon;Blood of Britannicus 'the Scythian';x
bloodofbritanon_desc;A veteran toxotai from the initial invasion, Britannicus has a reputation for a shrewd yet detached manner of politicking, envying the free and 'peaceful' lifestyle of the nomads.;x
crown_indoroman;Turban Diadem;x
crown_indoroman_desc;The crown forged by [Root.GetTitledFirstName] symbolizing [Root.GetHersHis] vision of great imperial conquest, a melding of East and West. Typically worn with an Eastern style Turban to represent this union. A magnificent symbol of Roman and Indian prestige, a crown only fit for the True heirs of Rome.;x
reform_comitatenses;Reform The Comitatenses;x
reform_comitatenses_desc; ;x
#romanoindian;Indo-Roman;x
walakriotic_proto_texts;Field-Journal of Walakrios;x
walakriotic_proto_texts_desc;A book containing all the fascinating facts and struggles of life for a Legatus in the Orient, as well as an intriguing selection of seemingly unorthodox questions and observations about the nature of life, death, morality, and even God himself.;x
spatha_tier_1_new;Spatha;x
spatha_tier_1_new_desc;A well crafted spatha.;x
spatha_tier_2_new;Spatha;x
spatha_tier_2_new_desc;A spatha crafted by a grandmaster.;x
spatha_tier_3_walakrios;Tyrantseeker;x
spatha_tier_3_walakrios_desc;A sinister glint reflects off of the blade of this well-sharpened sword.;x
spatha_tier_3_cold;Fieldtaker;x
spatha_tier_3_cold_desc;A calm and sharp weapon for a calm and sharp leader.;x
spatha_tier_3_sheogorath;Invicta;x
spatha_tier_3_sheogorath_desc;The legendary sword of the Indo-Roman [Root.GetTitledFirstName].;x
indoroman_prev_emperor_sculpture_mastercraft;Magnificent Sculpture of [From.OriginalOwner.GetFirstName] [From.OriginalOwner.GetOnlyDynastyName];x
