#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Translations done by PKZB

#religions
canaanite;Canaanite;Canaannéenne;Kanaanische;;Canaanita;;;;;;;;;x
druidic;Druidic;Druidique;Druidische;;Druídica;;;;;;;;;x
egyptian;Kemetic;Kémitiste;Kemetische;;Kemética;;;;;;;;;x
zalmoxian;Zalmoxian;Zalmoxiste;Zalmoxische;;Zalmoxista;;;;;;;;;x
megalithic;Megalithic;Mégalithique;Megalithische;;Megalítica;;;;;;;;;x
iberian;Iberian;Ibérique;Iberische;;Ibérica;;;;;;;;;x
sumerian;Chaldean;Chaldéenne;Mespotamische;;Caldeana;;;;;;;;;x
arabic;Arabic;Arabique;Arabische;;Árabe;;;;;;;;;x
ritualistic;Ritualistic;Ritualiste;Ritualistische;;Ritualista;;;;;;;;;x
cybelene;Cybelene;Cybélienne;Kybelenische;;Cibeliana;;;;;;;;;x
khaldic;Khaldic;Khaldique;Khaldische;;Jaldiana;;;;;;;;;x
armazic;Armazic;Armazienne;Armazische;;Armázica;;;;;;;;;x
scythian;Heptadic;Scythe;Heptadische;;Escita;;;;;;;;;x
proto_orthodox;Proto-Orthodox;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mayan_pagan;Mayan;Maya;Maya;;Maya;;;;;;;;;x
illyric;Illyric;Illyric;Illyrische;;Illyric;;;;;;;;;x
waaqi;Waaqi;Waaqi;Waakische;;Waaqi;;;;;;;;;x
marite;Marite;Marite;Marische;;Marite;;;;;;;;;x
ajivika;Ajivika;Ajivika;Ajivikische;;Ajivika;;;;;;;;;x
mithraic;Mithraic;Mithraic;Mithraische;;Mithraic;;;;;;;;;x
voxite;Voxite;Voxite;Voxische;;Voxite;;;;;;;;;x
nuragic;Nuragic;Nuragic;Nuragische;;Nuragic;;;;;;;;;x
bamar_pagan;Natic;Natic;Natische;;Natic;;;;;;;;;x

#reformed religions
canaanite_reformed;Canaanite;Canaannéenne;Kanaanische;;Canaanita;;;;;;;;;x
druidic_reformed;Druidic;Druidique;Druidische;;Druídica;;;;;;;;;x
zalmoxian_reformed;Zalmoxian;Zalmoxiste;Zalmoxische;;Zalmoxista;;;;;;;;;x
megalithic_reformed;Megalithic;Mégalithique;Megalithische;;Megalítica;;;;;;;;;x
iberian_reformed;Iberian;Ibérique;Iberische;;Ibérica;;;;;;;;;x
sumerian_reformed;Chaldean;Chaldéenne;Mespotamische;;Caldeana;;;;;;;;;x
arabic_reformed;Arabic;Arabique;Arabische;;Árabe;;;;;;;;;x
ritualistic_reformed;Ritualiste;Ritualistic;Ritualistische;;Ritualista;;;;;;;;;x
cybelene_reformed;Cybelene;Cybélienne;Kybelenische;;Cibeliana;;;;;;;;;x
khaldic_reformed;Khaldic;Khaldique;Khaldische;;Jaldiana;;;;;;;;;x
armazic_reformed;Armazic;Armazienne;Armazische;;Armázica;;;;;;;;;x
scythian_reformed;Heptadic;Scythe;Heptadische;;Escita;;;;;;;;;x
mayan_reformed;Mayan;Maya;Maya;;Maya;;;;;;;;;x
illyric_reformed;Illyric;Illyric;Illyrische;;Illyric;;;;;;;;;x
waaqi_reformed;Waaqi;Waaqi;Waakische;;Waaqi;;;;;;;;;x
marite_reformed;Marite;Marite;Marische;;Marite;;;;;;;;;x
mithraic_reformed;Mithraic;Mithraic;Mithraische;;Mithraic;;;;;;;;;x
voxite_reformed;Voxite;Voxite;Voxische;;Voxite;;;;;;;;;x
nuragic_reformed;Nuragic;Nuragic;Nuragische;;Nuragic;;;;;;;;;x
bamar_pagan_reformed;Natic;Natic;Natische;;Natic;;;;;;;;;x

#religion descriptions
canaanite_DESC;The Canaanite religion venerates a number of Gods and their aspects, in a polytheistic manner. Baal is regarded as the chief deity in a complex hierarchy of lesser gods, which were often worshiped at shrines found on mountains or hilltops.;La religion cananéenne vénère un certain nombre de dieux et leurs divers aspects, de façon polythéiste. Ba'l est considéré comme le principal dieu au sein d'une hiérarchie complexe de divinités mineures, très souvent vénérées dans des sanctuaires situés au sommet des montagnes et des collines.;Kanaanische;;Canaanita;;;;;;;;;x
druidic_DESC;Druids acted for the Celts, as a distinct social class. Often acting as magistrates and lawmakers, they also dictated local religious customs and beliefs.;Les druides sont pour les Celtes une classe sociale distincte des autres, agissant souvent en tant que magistrats et juges, ils sont aussi chargés des rites et croyances liés à la religion.;Druidische;;Druídica;;;;;;;;;x
egyptian_DESC;The history of the indigenous Egyptian religion stretches back many thousands of years. Manifesting as a polytheistic faith, the worship of Ra, Atum, Sekhmet and others, displays a deep reverence for the fundamental aspects of the natural world.;L'histoire de la religion propre aux Égyptiens remonte à plusieurs milliers d'années. Foi polythéiste, la croyance en Râ, Atoum, Sekhmet et dans les autres divinités témoigne d'une profonde révérence envers les aspects fondamentaux du monde naturel.;Kemetische;;Kemética;;;;;;;;;x
zalmoxian_DESC;Whether Zalmoxis was originally a prophet or a god, is unknown. The Dacians and Getae however, revere Zalmoxis as a divine being, ascribing many miraculous acts to him.;On ne sait réellement si Zalmoxis était à l'origine un prophète ou un dieu, mais les Daces et les Gètes le révèrent comme un être d'essence divine et lui attribuent nombre de miracles;Zalmoxische;;Zalmoxista;;;;;;;;;x
megalithic_DESC;The ancient culture and religion was a melting pot of traditional egyptian beliefs, star-worship, and ancestor veneration. Many megaliths - stone constructs raised in honor of the gods - still exist, dotted about the African landscape.;Mégalithique;Megalithische;;Megalítica;;;;;;;;;x
iberian_DESC;Essentially a hybrid polytheistic religion, Iberian religious practices involve the veneration of animal spirits, as well as ancestor worship. Various Hellenic and Phoenician gods were worshiped by the Iberians, as well as local deities such as Betatun or Ataecina.;Ibérique;Iberische;;Ibérica;;;;;;;;;x
sumerian_DESC;The history of the Chaldean pantheon stretches back many thousands of years. Worshiping gods such as Anu, Enki and Nanna, the devotees of the Chaldean religion construct imposing temples in honor of their chosen God.;Chaldéenne;Mespotamische;;Caldeana;;;;;;;;;x
arabic_DESC;Religion in Arabia was a polytheistic mixture of deities, aspects and demons, practiced in localities and enclaves around the region. Allah, the Creator-God, may have been worshiped as the head of the pantheon during this period, in some locations.;Arabique;Arabische;;Árabe;;;;;;;;;x
ritualistic_DESC;Representing a variety of localized faiths and folk religions, Ritualism espouses ancestor-worship, animism, and votive offerings.;Ritualiste;Ritualistische;;Ritualista;;;;;;;;;x
cybelene_DESC;The Phrygian cult of Cybele is linked to prehistoric Mother-Goddess worship. Evolving over thousands of years, the cult of Cybele often claimed relationship to mythical figures and heroes, and practiced their religion with the veneration of idols.;Cybélienne;Kybelenische;;Cibeliana;;;;;;;;;x
khaldic_DESC;The Khaldic pantheon represents a religion which grew out of the Urartian culture, many centuries before. A principally polytheistic faith, the chief god was known as Khaldi, and was worshiped as a warrior god;Khaldique;Khaldische;;Jaldiana;;;;;;;;;x
