#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Roman split
irck2_convert_to_italian;Embrace Italian Culture;Embrace Italian Culture;Embrace Italian Culture;;Embrace Italian Culture;;;;;;;;;x
irck2_convert_to_dalmatian;Embrace Dalmatian Culture;Embrace Dalmatian Culture;Embrace Dalmatian Culture;;Embrace Dalmatian Culture;;;;;;;;;x
irck2_convert_to_romanian;Embrace Vlach Culture;Embrace Vlach Culture;Embrace Vlach Culture;;Embrace Vlach Culture;;;;;;;;;x
irck2_convert_to_occitan;Embrace Occitan Culture;Embrace Occitan Culture;Embrace Occitan Culture;;Embrace Occitan Culture;;;;;;;;;x
irck2_convert_to_frankish;Embrace French Culture;Embrace French Culture;Embrace French Culture;;Embrace French Culture;;;;;;;;;x
irck2_convert_to_catalan;Embrace Catalan Culture;Embrace Catalan Culture;Embrace Catalan Culture;;Embrace Catalan Culture;;;;;;;;;x
irck2_convert_to_castillan;Embrace Castilian Culture;Embrace Castilian Culture;Embrace Castilian Culture;;Embrace Castilian Culture;;;;;;;;;x
irck2_convert_to_portuguese;Embrace Portuguese Culture;Embrace Portuguese Culture;Embrace Portuguese Culture;;Embrace Portuguese Culture;;;;;;;;;x
irck2_convert_to_sardinian;Embrace Sardinian Culture;Embrace Sardinian Culture;Embrace Sardinian Culture;;Embrace Sardinian Culture;;;;;;;;;x
#New cultures
irck2_convert_to_aromanian;Embrace Aromanian Culture;Embrace Aromanian Culture;Embrace Aromanian Culture;;Embrace Aromanian Culture;;;;;;;;;x
irck2_convert_to_cambrian;Embrace Cambrian Culture;Embrace Cambrian Culture;Embrace Cambrian Culture;;Embrace Cambrian Culture;;;;;;;;;x
irck2_convert_to_romano_african;Embrace Eifrican Culture;Embrace Eifrican Culture;Embrace Eifrican Culture;;Embrace Eifrican Culture;;;;;;;;;x



