#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Translations done by PKZB

#religions
polytheistic;Polythéiste;Polytheistic;Polytheistisch;;Politeísta;;;;;;;;;x
canaanite;Canaanite;Canaannéenne;Kanaanisch;;Canaanita;;;;;;;;;x
druidic;Druidic;Druidique;Druidisch;;Druídica;;;;;;;;;x
egyptian;Kemetic;Kémitiste;Kemetisch;;Kemética;;;;;;;;;x
zalmoxian;Zalmoxian;Zalmoxiste;Zalmoxisch;;Zalmoxista;;;;;;;;;x
megalithic;Megalithic;Mégalithique;Megalithisch;;Megalítica;;;;;;;;;x
iberian;Iberian;Ibérique;Iberisch;;Ibérica;;;;;;;;;x
sumerian;Chaldean;Chaldéenne;Mespotamisch;;Caldeana;;;;;;;;;x
arabic;Arabic;Arabique;Arabisch;;Árabe;;;;;;;;;x
ritualistic;Ritualiste;Ritualistic;Ritualistisch;;Ritualista;;;;;;;;;x
cybelene;Cybelene;Cybélienne;Kybelenisch;;Cibeliana;;;;;;;;;x
khaldic;Khaldic;Khaldique;Khaldisch;;Jaldiana;;;;;;;;;x
armazic;Armazic;Armazienne;Armazisch;;Armázica;;;;;;;;;x
scythian;Scythian;Scythe;Scythisch;;Escita;;;;;;;;;x

#religion groups
polytheistic;Polythéiste;Polytheistic;Polytheistisch;;Politeísta;;;;;;;;;x

#Details done by Thinking_waffle

#Canaanite details
canaanite_scripture;Cycle of Ba'al;Cycle de Ba'al;Zyklus des Ba'al;;Ciclo de Ba'al;;;;;;;;;x
canaanite_high_god;El;El;El;;El;;;;;;;;;x
dagan;Dagan;Dagan;Dagan;;Dagan;;;;;;;;;x
astargatis;Astargatis;Astargatis;Astargatis;;Astargatis;;;;;;;;;x
ashima;Ashima;Ashima;Ashima;;Ashima;;;;;;;;;x
aglibol;Aglibol;Aglibol;Aglibol;;Aglibol;;;;;;;;;x
shadrafa;Shadrafa;Shadrafa;Shadrafa;;Shadrafa;;;;;;;;;x
sydyk;Sydyk;Sydyk;Sydyk;;Sydyk;;;;;;;;;x
baal;Baal;Baal;Baal;;Baal;;;;;;;;;x
tanit;Tanit;Tanit;Tanit;;Tanit;;;;;;;;;x
lotan;Lotan;Lotan;Lotan;;Lotan;;;;;;;;;x
yam;Yam;Yam;Yam;;Yam;;;;;;;;;x

#Druidic details
druidic_scripture;The teachings;Les enseignements;Der Lehren;;Las enseñanzas;;;;;;;;;x
druid_priest;Druid;Druide;Druid;;Druida;;;;;;;;;x
taranis;Taranis;Taranis;Taranis;;Taranis;;;;;;;;;x
cerunnos;Cerunnos;Cerunnos;Cerunnos;;Cerunnos;;;;;;;;;x
epona;Epona;Epona;Epona;;Epona;;;;;;;;;x
vinotonus;Vinotonus;Vinotonus;Vinotonus;;Vinotonus;;;;;;;;;x
toutatis;Toutatis;Toutatis;Toutatis;;Tutatis;;;;;;;;;x
condatis;Condatis;Condatis;Condatis;;Condatis;;;;;;;;;x
belenos;Belenos;Bélénos;Belenos;;Belenos;;;;;;;;;x
belisama;Belisama;Bélisama;Belisama;;Belisama;;;;;;;;;x
artio;Artio;Artio;Artio;;Artio;;;;;;;;;x
intarabus;Intarabus;Intarabus;Intarabus;;Intarabus;;;;;;;;;x
balor;Balor;Balor;Balor;;Balor;;;;;;;;;x

#Iberian details
iberian_scripture;???;???;???;;???;;;;;;;;;x
iberian_high_god;???;???;???;;???;;;;;;;;;x
candamius;Candamius;Candamius;Candamius;;Candamius;;;;;;;;;x
semnocosus;Semnocosus;Semnocosus;Semnocosus;;Semnocosus;;;;;;;;;x
cariocecus;Cariocecus;Cariocecus;Cariocecus;;Carioceco;;;;;;;;;x
ataecina;Ataecina;Ataecina;Ataecina;;Ataecina;;;;;;;;;x
eacus;Eacus;Eacus;Eacus;;Eacus;;;;;;;;;x
detatun;Betatun;Betatun;Betatun;;Betatun;;;;;;;;;x
dercetius;Dercetius;Dercetius;Dercetius;;Dercetius;;;;;;;;;x
endouellicus;Endouellicus;Endouellicus;Endouellicus;;Endouellicus;;;;;;;;;x
iberian_dark_one;The Dark One;l'Obscur;Der Dunklegott;;El Oscuro;;;;;;;;;x

#Zalmoxian details
zalmoxian_scripture;???;???;???;;???;;;;;;;;;x
gabeleisos;Gabeleisos;Gabeleisos;Gabeleisos;;Gabeleisos;;;;;;;;;x
zalmoxis;Zalmoxis;Zalmoxis;Zalmoxis;;Zalmoxis;;;;;;;;;x
pleistoros;Pleistoros;Pleistoros;Pleistoros;;Pleistoros;;;;;;;;;x
sabazios;Sabazios;Sabazios;Sabazios;;Sabazios;;;;;;;;;x
zibelthiurdos;Zibelthiurdos;Zibelthiurdos;Zibelthiurdos;;Zibelthiurdos;;;;;;;;;x
bassareus;Bassareus;Bassareus;Bassareus;;Bassareus;;;;;;;;;x
derzelas;Derzelas;Derzelas;Derzelas;;Derzelas;;;;;;;;;x
semele;Semele;Semele;Semele;;Semele;;;;;;;;;x
bendis;Bendis;Bendis;Bendis;;Bendis;;;;;;;;;x
zalmoxian_dark_god;The Taker;The Taker;The Taker;;The Taker;;;;;;;;;x

#Egyptian details
egyptian_scripture;Books on the Gods;Livres sur les Dieux;Büchen des Gotten;;Libros de los Dioses;;;;;;;;;x
amun;Amun;Amon;Amun;;Amón;;;;;;;;;x
re;Re;Re;Re;;Re;;;;;;;;;x
osiris;Osiris;Osiris;Osiris;;Osíris;;;;;;;;;x
isis;Isis;Isis;Isis;;Ísis;;;;;;;;;x
horus;Horus;Horus;Horus;;Horus;;;;;;;;;x
bastet;Bastet;Bastet;Bastet;;Bastet;;;;;;;;;x
sekhmet;Sekhmet;Sekhmet;Sekhmet;;Sekhmet;;;;;;;;;x
anubis;Anubis;Anubis;Anubis;;Anubis;;;;;;;;;x
toth;Toth;Toth;Toth;;Toth;;;;;;;;;x
hapi;Hapi;Hapi;Hapi;;Hapi;;;;;;;;;x
sarapis;Sarapis;Sarapis;Sarapis;;Sarapis;;;;;;;;;x
ptah;Ptah;Ptah;Ptah;;Ptah;;;;;;;;;x
geb;Geb;Geb;Geb;;Geb;;;;;;;;;x
tenenet;Tenenet;Tenenet;Tenenet;;Tenenet;;;;;;;;;x
bes;Bès;Bès;Bès;;Bès;;;;;;;;;x
seth;Seth;Seth;Seth;;Seth;;;;;;;;;x
aapep;Aapep;Aapep;Aapep;;Apep;;;;;;;;;x

#Megalithic details
megalithic_scripture;The Sacred Tales;Les Histoires Sacrées;Der Heiliges Schreiben;;Las Historias Sagradas;;;;;;;;;x
gurzil;Gurzil;Gurzil;Gurzil;;Gurzil;;;;;;;;;x
sinifere;Sinifere;Sinifere;Sinifere;;Sinifere;;;;;;;;;x
Shaheded;Shaheded;Shaheded;Shaheded;;Shaheded;;;;;;;;;x
nanna_tala;Nanna Tala;Nanna Tala;Nanna Tala;;Nanna Tala;;;;;;;;;x
megalithic_dark_one;The Dark One;L'Obscur;Der Dunklegott;;El Oscuro;;;;;;;;;x

#Cybelene details
cybelene_scripture;???;???;???;;???;;;;;;;;;x
cybele;Cybele;Cybèle;Cybele;;Cibeles;;;;;;;;;x
attis;Attis;Attis;Attis;;Attis;;;;;;;;;x
god_ma;Ma;Ma;Ma;;Ma;;;;;;;;;x
agdistis;Agdistis;Agdistis;Agdistis;;Agdistis;;;;;;;;;x
dactyls;Dactyls;Dactyls;Dactyls;;Dactyls;;;;;;;;;x
god_men;Men;Men;Men;;Men;;;;;;;;;x
kakasbos;Kakasbos;Kakasbos;Kakasbos;;Kakasbos;;;;;;;;;x
sandon;Sandon;Sandon;Sandon;;Sandon;;;;;;;;;x
agdistis;Agdistis;Agdistis;Agdistis;;Agdistis;;;;;;;;;x
cybelene_dark_god;Death;La Mort;Der Tod;;La Muerte;;;;;;;;;x

#Scythian details
scythian_scripture;???;???;???;;???;;;;;;;;;x
goitosyrus;Goitosyrus;Goitosyrus;Goitosyrus;;Goitosyrus;;;;;;;;;x
thagimasadas;Thagimasadas;Thagimasadas;Thagimasadas;;Thagimasadas;;;;;;;;;x
api_god;Api;Api;Api;;Api;;;;;;;;;x
tabiti;Tabiti;Tabiti;Tabiti;;Tabiti;;;;;;;;;x
argimpasa;Argimpasa;Argimpasa;Argimpasa;;Argimpasa;;;;;;;;;x
