#These are used to generate dejure kingdoms and empires in places that they don't exist in
#culture,empire,kingdom
#Empires should only be generated outside of I:R empires
#Kingdoms should only be generated in duchies where the majority is uncolonized

ancient_egyptian,e_EGT,k_EGT
babylonian,e_persia,k_iraq
belgae,e_GAU,k_BGG
carthaginian,e_CAR,k_CAR
caucasian_albanian,e_persia,k_ALB
celtiberian,e_HBR,k_CBR
celtic_pannonian,e_GAU,k_NRM
cilician,e_HLA,k_anatolia
dacian,e_DAC,k_DAC
etruscan,e_roman_empire,k_ROM
gallic,e_GAU,k_GAU
gothic,e_germany,k_pomerania
hebrew,e_persia,k_jerusalem
hellenistic,e_ALX,k_ALX
iberic,e_HBR,k_navarra
isaurian,e_HLA,k_anatolia
lepontic,e_GAU,k_BOI
lusitanian,e_HBR,k_LST
lycian,e_HLA,k_anatolia
nabatean,e_arabia,k_arabia
nuragic,e_HBR,k_SAR
old_ligurian,e_roman_empire,k_ROM
paphlagonian,e_HLA,k_PAP
phoenician,e_persia,k_PPN
phrygian,e_HLA,k_anatolia
rhaetian,e_roman_empire,k_RAE
sabellian,e_roman_empire,k_ROM
siculian,e_roman_empire,k_ROM
thracian,e_DAC,k_thrace
turdetanian,e_HBR,k_navarra
vandal,e_germany,k_pomerania
venetic,e_roman_empire,k_VNT

persian,e_persia,k_persia
greek,e_HLA,k_byzantium
roman,e_roman_empire,k_ROM
basque,e_HBR,k_navarra
irish,e_britannia,k_ireland
manx,e_britannia,k_ireland
welsh,e_britannia,k_wales
pictish,e_britannia,k_CCC
breton,e_britannia,k_wales
suebi,e_germany,k_germany
old_saxon,e_germany,k_saxony
frisian,e_germany,k_frisia
norse,e_scandinavia,k_norway
old_frankish,e_germany,k_france
maghreb_arabic,e_maghreb,k_mauretania
arberian,e_HLA,k_byzantium
saka,e_pontic_steppe,k_SCY
bedouin_arabic,e_arabia,k_arabia
georgian,e_HLA,k_georgia
armenian,e_HLA,k_armenia
assyrian,e_persia,k_mesopotamia
somali,e_abyssinia,k_abyssinia
ethiopian,e_abyssinia,k_abyssinia
nubian,e_abyssinia,k_nubia
zhangzhung,e_tibet,k_guge
bodpa,e_tibet,k_yarlung
sumpa,e_tibet,k_yarlung
afghan,e_persia,k_afghanistan
baloch,e_persia,k_baluchistan
sogdian,e_turkestan,k_khiva
tocharian,e_turkestan,k_khotan
bengali,e_bengal,k_bengal
nepali,e_tibet,k_nepal
assamese,e_bengal,k_kamarupa
oriya,e_bengal,k_orissa
hindustani,e_rajastan,k_malwa
sinhala,e_deccan,k_lanka
panjabi,e_rajastan,k_punjab
sindhi,e_rajastan,k_sindh
rajput,e_rajastan,k_rajputana
gujurati,e_rajastan,k_gujarat
marathi,e_deccan,k_maharastra
kannada,e_deccan,k_karnata
tamil,e_deccan,k_tamilakam
telugu,e_deccan,k_telingana
prussian,e_wendish_empire,k_lithuania
