#For converting certain dynamically generated titles into CK II titles
#Titles are only converted to vanilla equivelents if dynamically calculated rank matches vanilla rank

e_ROM,e_roman_empire
e_PER,e_persia
e_AXM,e_abyssinia
e_AX2,e_abyssinia
e_BHA,e_india
e_DRA,e_deccan
e_YMN,e_arabia
#e_NUM,e_maghreb
k_XXS,k_saxony
k_HIB,k_ireland
k_YRL,k_yarlung
k_ARI,k_armenia
k_ARM,k_armenia
k_YMN,k_yemen
k_AXM,k_abyssinia
k_AX2,k_abyssinia
k_SII,k_sicily
k_BRA,k_wales
k_CYP,k_cyprus
k_JUD,k_israel
k_SWE,k_sweden
k_DAN,k_denmark
k_ZHZ,k_guge
k_ANH,k_andhra
k_ASR,k_mesopotamia
k_KHT,k_khotan
