#sicily,b
84,343
101,343
7840,343
87,343
83,343
7837,343
82,343
7838,343
88,343
#a,a
86,342
91,342
90,342
7841,342
#a,a
93,341
94,341
95,341
92,341
7843,341
#a,a
96,340
7892,340
97,340
98,340
89,340
#a,a
100,339
99,339
80,339
81,339
#sardinia,b
3506,1574
3505,1574
3504,1574
3503,1574
3489,1574
#a,aMayBeExpandedInTheFuture
3488,1560
3487,1560
#a,a
3502,1576
3501,1576
3500,1576
3499,1576
3497,1576
3494,1576
3496,1576
3498,1576
#a,a
3495,325
3493,325
3492,325
3485,325
3482,325
3491,325
#a,a
3481,326
3483,326
3484,326
3490,326
3486,326
#corsica,b
3515,324
3514,324
3516,324
3513,324
3512,324
3511,324
#a,a
3510,1577
3509,1577
3508,1577
3507,1577
#malta,b
1471,812
#southern_italy,b
72,338
75,338
73,338
#a,a
76,1712
78,1712
74,1712
79,1712
#a,a
77,337
52,337
51,337
#a,a
61,344
53,344
54,344
71,344
#a,a
55,345
56,345
62,345
63,345
64,345
65,345
57,345
#a,a
68,346
66,346
69,346
58,346
67,346
42,346
60,346
70,346
#a,a
46,336
59,336
13,336
12,336
11,336
10,336
47,336
43,336
#a,a
9,935
1713,935
#a,a
7,334
8,334
40,334
#a,a
32,335
48,335
33,335
41,335
44,335
1718,335
1716,335
#a,a
37,347
45,347
39,347
38,347
#a,aMayBeExpanded
49,348
36,348
50,348
#b,bCentral_Italy
34,1707
35,1707
29,1707
106,1707
#a,a
30,929
27,929
24,929
28,929
107,929
108,929
#a,a
109,350
110,350
118,350
117,350
111,350
#a,a
104,349
105,349
23,349
20,349
#a,a
1712,851
31,851
26,851
5,851
6,851
#a,a
4,333
25,333
19,333
2,333
3,333
15,333
16,333
1,333
#a,a
14,243
18,243
21,243
17,243
102,243
#a,a
22,332
113,332
#a,a
112,331
114,331
#a,a
115,330
116,330
125,330
#a,a
120,1708
119,1708
103,1708
#a,a
124,1713
130,1713
131,1713
#a,a
123,329
122,329
132,329
#a,a
121,1711
133,1711
#b,bnorthernItaly
127,327
126,327
128,327
136,327
#a,a
137,323
138,323
#a,a
129,328
135,328
134,328
139,328
#a,a
141,233
3552,233
3549,233
#a,a
3547,1714
3546,1714
3545,1714
#a,a
3550,232
3557,232
3556,232
3559,232
3555,232
3558,232
#a,a
3548,231
3563,231
3564,231
#a,a
3551,236
3535,236
3560,236
#a,a
3562,1710
3561,1710
3568,1710
#a,a
3565,235
3566,235
3572,235
#a,a
3574,234
3554,234
3553,234
#a,a
3575,321
3576,321
152,321
153,321
154,321
#a,a
151,322
149,322
#a,a
146,352
#a,a
147,351
142,351
148,351
#a,a
144,353
150,353
145,353
#a,a
143,355
3593,355
3594,355
#a,a
3592,319
3589,319
3595,319
3590,319
#a,a
3591,354
3588,354
#a,a
3587,320
3585,320
3582,320
3573,320
#a,a
3578,1709
3571,1709
3567,1709
#a,aMayBeExpanded
3569,1612
3570,1612
3577,1612
#a,a
3579,318
3580,318
3581,318
3583,318
3586,318
#a,a
3584,317
3662,317
3661,317
3596,317
#a,aMaySwitch3597BacktoVenice
3599,357
3597,357
3601,357
#a,a
3598,356
#a,a
3602,358
3606,358
3607,358
#a,a
3605,1695
3604,1695
3603,1695
#a,a
3600,1613
#a,a
#b,bNorthAfrica
3255,817
3252,817
3253,817
3256,817
3259,817
3251,817
3250,817
3249,817
3242,817
3240,817
3243,817
3244,817
3245,817
3254,817
#a,a
3257,819
3258,819
3262,819
3230,819
3264,819
3263,819
3260,819
3261,819
#a,a
3233,818
3265,818
3267,818
3271,818
3269,818
3268,818
3234,818
3235,818
3238,818
3241,818
#a,a
3275,816
3276,816
3277,816
3278,816
3280,816
3283,816
3287,816
3285,816
3288,816
3286,816
3281,816
3282,816
3284,816
#a,a
3289,814
3291,814
3292,814
3290,814
3202,814
#a,a
3200,815
3199,815
3211,815
3273,815
3279,815
3212,815
3274,815
3272,815
3239,815
3236,815
3246,815
3210,815
#a,aMayBeExpanded
3201,1726
3196,1726
3190,1726
3189,1726
3188,1726
3193,1726
3195,1726
3194,1726
#b,bLibya
3293,813
3296,813
3295,813
3294,813
3297,813
3298,813
3299,813
#a,a
3300,811
3301,811
3302,811
3303,811
3304,811
3305,811
3306,811
#a,a
3324,810
3325,810
3326,810
3327,810
#a,a
3329,809
3330,809
3332,809
3333,809
3334,809
3335,809
3336,809
#a,aMayBeExpanded
3337,1721
3338,1721
3339,1721
3340,1721
3341,1721
3342,1721
3343,1721
3345,1721
#b,b
#b,bBalearics
1464,827
1465,827
